,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
28323,holloch01,1919,SS,115,,219,418,40.0,49,1896.0,23.0,5.539130434782609,94.09158050221565,4.664410229107832
33195,rigneto01,1926,SS,146,,286,492,25.0,80,1897.0,29.0,5.328767123287672,96.88667496886674,4.458702649258586
83378,griffal01,1984,SS,115,2850.0,189,269,18.0,65,1957.0,27.0,3.982608695652174,96.21848739495799,4.065527914104143
46306,newsosk01,1946,SS,107,,179,310,23.0,53,1910.0,36.0,4.570093457943925,95.5078125,4.423496538099533
28275,gerbewa01,1919,SS,140,,284,422,45.0,42,1891.0,28.0,5.042857142857143,94.00798934753661,4.664410229107832
28259,fletcar01,1919,SS,127,,265,521,47.0,49,1885.0,34.0,6.188976377952756,94.3577430972389,4.664410229107832
33217,sandhe01,1926,SS,149,,358,495,55.0,88,1897.0,29.0,5.724832214765101,93.94273127753304,4.458702649258586
77126,griffal01,1979,SS,153,3961.0,272,501,36.0,124,1957.0,22.0,5.052287581699346,95.55006180469717,4.113890132095312
46339,peskyjo01,1946,SS,153,,296,479,25.0,96,1919.0,27.0,5.065359477124183,96.875,4.423496538099533
28393,lavando01,1919,SS,99,,207,352,43.0,49,1890.0,29.0,5.646464646464646,92.85714285714286,4.664410229107832
76939,conceda01,1979,SS,148,3892.0,284,495,27.0,102,1948.0,31.0,5.263513513513513,96.6501240694789,4.113890132095312
33282,tavenja01,1926,SS,156,,300,470,39.0,92,1897.0,29.0,4.935897435897436,95.17923362175526,4.458702649258586
76707,yountro01,1978,SS,125,3339.0,246,453,30.0,78,1955.0,23.0,5.592,95.88477366255144,4.088859959830793
50926,demaejo01,1953,SS,108,,191,297,18.0,53,1928.0,25.0,4.518518518518518,96.44268774703558,4.174706778338868
105467,hernajo01,1999,SS,92,2112.0,114,249,11.0,51,1969.0,30.0,3.9456521739130435,97.05882352941177,4.037387926227994
27739,lavando01,1918,SS,117,,275,354,57.0,43,1890.0,28.0,5.3760683760683765,91.69096209912536,4.7480550730483975
115411,claytro01,2005,SS,141,3532.0,180,404,11.0,91,1970.0,35.0,4.141843971631205,98.15126050420167,4.082061815026156
105405,guzmacr01,1999,SS,131,3207.0,196,363,24.0,82,1978.0,21.0,4.267175572519084,95.88336192109776,4.037387926227994
105385,grudzma01,1999,SS,119,3084.0,171,306,13.0,66,1970.0,29.0,4.008403361344538,97.34693877551021,4.037387926227994
50921,darkal01,1953,SS,110,,219,343,19.0,79,1922.0,31.0,5.109090909090909,96.72977624784855,4.174706778338868
76640,veryzto01,1978,SS,129,3247.0,177,375,21.0,58,1953.0,25.0,4.27906976744186,96.33507853403141,4.088859959830793
27667,hornsro01,1918,SS,109,,208,434,46.0,55,1896.0,22.0,5.889908256880734,93.31395348837209,4.7480550730483975
51028,hemusso01,1953,SS,150,,257,476,27.0,90,1923.0,30.0,4.886666666666667,96.44736842105263,4.174706778338868
115555,eckstda01,2005,SS,156,4022.0,243,517,15.0,123,1975.0,30.0,4.871794871794871,98.06451612903226,4.082061815026156
76582,templga01,1978,SS,155,4061.0,285,523,40.0,108,1956.0,22.0,5.212903225806452,95.28301886792453,4.088859959830793
76579,taverfr01,1978,SS,157,4105.0,216,448,38.0,80,1949.0,29.0,4.229299363057325,94.58689458689459,4.088859959830793
