,age,yearID,G,InnOuts,PO,A,E,DP,birthYear,Range Factor,Fielding %,RF Yearly Avg,FP Yearly Avg,Range Factor Difference,Fielding % Difference
0,19.0,1951.75,112.0,2635.0,432.0,147.5,17.125,46.25,1932.75,4.923947369795264,96.78113400869572,4.266871723551243,97.44019161503104,0.6570756462440202,-0.6590576063353097
1,20.0,1957.5,123.11111111111111,3236.904761904762,323.47222222222223,168.61111111111111,17.38888888888889,35.833333333333336,1937.5,4.041926847335271,96.28804787358243,4.216056152473092,97.25424833425038,-0.17412930513782282,-0.966200460667956
2,21.0,1958.8916666666667,129.91666666666666,3326.849315068493,333.78333333333336,158.64166666666668,16.05,33.2,1937.8916666666667,3.7520129455777633,96.59831565615546,4.216993065026727,97.30397921239044,-0.4649801194489593,-0.7056635562349719
3,22.0,1959.3920972644378,129.96656534954408,3349.187817258883,361.97872340425533,175.64741641337386,17.51063829787234,36.80547112462006,1937.3920972644378,4.132169618868817,96.6265143131801,4.219088412104587,97.28878137180997,-0.08691879323576905,-0.6622670586298529
4,23.0,1964.580357142857,128.04910714285714,3229.776765375854,359.9985119047619,168.55208333333334,15.443452380952381,37.642857142857146,1941.580357142857,4.1109073323448,96.93540760174201,4.2004828335334885,97.42965970983471,-0.08957550118868797,-0.4942521080925867
5,24.0,1967.9595015576324,128.1246105919003,3204.898355754858,362.03219106957425,158.59190031152647,13.701973001038422,36.08203530633437,1943.9595015576324,4.025261352830824,97.19181999217624,4.188179259195384,97.48572025486088,-0.16291790636455533,-0.29390026268477937
6,25.0,1968.0928057553956,128.5251798561151,3237.550314465409,372.6611510791367,159.20575539568344,13.766187050359711,36.47338129496403,1943.0928057553956,4.1239307878086615,97.21540956587056,4.191479089788276,97.48775458397529,-0.06754830197962017,-0.2723450181045101
7,26.0,1968.4760051880673,129.42153047989623,3251.9443396226416,378.988326848249,153.82555123216602,12.75810635538262,36.235408560311285,1942.4760051880673,4.09443386096187,97.38710750199296,4.195224775085596,97.490312804899,-0.10079091412372103,-0.10320530290615638
8,27.0,1967.882039122703,129.21339656194428,3261.6486013986014,395.4789567279194,150.68998221695318,12.525192649673977,36.55068168346177,1940.882039122703,4.205738616699434,97.44614067541215,4.197490461748595,97.48672111010175,0.008248154950841968,-0.04058043468961579
9,28.0,1967.6173134328358,128.84059701492538,3261.711210762332,403.7492537313433,144.72298507462688,11.922388059701493,36.211940298507464,1939.6173134328358,4.242855818473557,97.56818863047195,4.201889231175931,97.49322283992198,0.0409665872976146,0.07496579055028807
